01;30;10;Luisiana;24;1
01;31;11;Indigo;14;1
01;32;12;Pelon;19;0
01;30;13;Maximo;14;0
02;40;20;Rojitos;41;1
02;41;21;Blanquitos;31;0
02;42;22;Banjo;61;1
02;43;23;Sabemas;12;0
02;42;24;Verdecitos;41;0
03;50;30;Rosax;18;0
03;51;31;Flox;31;1
03;52;32;SalSol;10;0
03;53;33;MariMar;71;0
03;51;34;Himalaya;13;1
04;60;40;Glassy;10;0
04;61;41;Gruh;31;0
04;60;42;Pany;16;1
05;70;50;Cedex;17;0
05;71;51;Cielo;19;0
05;72;52;Max;13;0
05;73;53;Fabuloso;5;1
05;74;54;Orgax;11;0
05;74;55;Biodex;13;1
11;80;60;Arranca;14;0
11;81;61;Killer;12;0
12;90;70;Suavitel;15;1
12;91;71;Cariños;81;0
13;100;80;Cedal;14;0
13;101;81;Risitos;61;0
13;101;82;Enrredados;19;1
13;103;80;Pantene;14;0
13;104;83;Basic;10;0
13;102;84;Colorful;31;0
21;110;90;Legs;14;0
21;111;91;Long;12;0
22;120;101;Loves;12;0
22;121;102;Life;51;0
22;122;103;Denix;81;0
22;123;104;Cozy;61;0
23;130;201;Navidad;14;0
23;131;202;Brujas;14;0
23;132;203;Fiesta;21;0
25;140;300;Escuela;12;0
25;141;301;Manualidades;50;0
25;142;302;Costura;14;0
25;141;303;Pinturas;15;0
